Payment_No,Hno,Amount,Date,Type
54,1071,5155.01,20-Jun-76,License Service
55,1072,7352.25,12-Apr-81,License Service
56,1073,3319.43,29-Jun-15,License Service
57,1076,1745.1,15-Dec-83,License Service
58,1077,6567.89,07-Jun-97,License Service
59,1080,6237.15,04-Jul-77,License Service
60,1082,3075.66,04-Sep-94,License Service
61,1083,7352.25,24-Dec-84,License Service
62,1084,4262.54,04-Oct-81,License Service
63,1085,3319.43,05-Oct-88,License Service
64,1088,8719.93,27-Sep-98,License Service
65,1089,6086.96,14-May-02,License Service
66,1090,6056.38,18-Aug-73,License Service
67,1091,3396.46,28-Aug-74,License Service
68,1092,9433.8,02-Jul-83,License Service
69,1093,6530.28,05-Mar-95,License Service
70,1095,6530.28,30-Jul-15,License Service
71,1097,7352.25,17-Jun-13,License Service
72,1098,9433.8,06-Dec-77,License Service
73,1099,3127.96,29-May-16,License Service
74,1101,1817.76,18-Nov-71,License Service
75,1103,9379.04,09-Jun-05,License Service
76,1104,2060.39,30-Sep-75,License Service
77,1106,1855.61,28-Nov-15,License Service
78,1107,4209.55,23-Jun-75,License Service
79,1108,6056.38,03-Mar-13,License Service
80,1109,3075.66,14-Sep-82,License Service
81,1110,6059.31,14-Jan-72,License Service
82,1112,3396.46,06-Jun-97,License Service
83,1116,7712.69,08-Feb-97,License Service
84,1117,1745.1,28-Jan-17,License Service
85,1118,4262.54,26-Nov-71,License Service
86,1119,797.71,07-Apr-73,License Service
87,1120,1443.06,22-Dec-13,License Service
88,1122,6056.38,06-Feb-80,License Service
89,1123,9098.64,26-Aug-05,License Service
90,1124,4596.04,22-Nov-76,License Service
91,1125,4596.04,20-Oct-00,License Service
92,1126,8719.93,15-Mar-74,License Service
93,1127,4257.09,12-May-80,License Service
94,1128,3319.43,04-Feb-85,License Service
95,1129,3456.7,04-May-74,License Service
96,1131,523.24,11-Jul-16,License Service
97,1132,5714.43,10-Oct-78,License Service
98,1133,3456.7,26-Jan-92,License Service
99,1134,6237.15,08-Dec-72,License Service
100,1135,8089.71,08-Jan-08,License Service
101,1136,9379.04,21-Dec-82,License Service
102,1137,6371.53,08-Aug-06,License Service
103,1138,3127.96,29-Aug-17,License Service
104,1139,5308.45,05-Apr-89,License Service
105,1142,2060.39,29-May-86,License Service
106,1143,8324.43,16-Dec-96,License Service
107,1145,8324.43,01-Dec-83,License Service
108,1146,9401.14,13-Jun-89,License Service
109,1147,6059.31,14-Jul-99,License Service
110,1148,8324.43,06-Dec-13,License Service
111,1149,7352.25,13-Nov-96,License Service
112,1150,4944.26,23-Sep-82,License Service
113,1151,7304.01,23-Jul-81,License Service
114,1152,4596.04,06-Aug-06,License Service
115,1153,4356.49,27-Oct-00,License Service
116,1155,4257.09,19-Dec-92,License Service
117,1156,3127.96,22-Jun-76,License Service
118,1157,4209.55,15-Jan-71,License Service
119,1158,3075.66,03-Jun-77,License Service
120,1159,4262.54,30-May-82,License Service
121,1160,2031.42,01-Mar-79,License Service
122,1161,8680.38,17-Apr-91,License Service
123,1162,3075.66,02-Dec-04,License Service
124,1163,6722.08,08-Dec-85,License Service
125,1164,8089.71,06-Dec-04,License Service
126,1166,5308.45,20-Sep-16,License Service
127,1167,9379.04,07-May-96,License Service
128,1168,1443.06,01-Mar-11,License Service
129,1170,6530.28,23-Jul-88,License Service
130,1172,1443.06,16-Nov-71,License Service
131,1173,7712.69,29-Jul-91,License Service
132,1174,5308.45,06-Oct-16,License Service
133,1175,7031.99,24-Mar-16,License Service
134,1176,3456.7,28-Jun-75,License Service
135,1177,3075.66,07-Mar-98,License Service
136,1179,7712.69,29-Apr-95,License Service
137,1182,5045.14,08-Oct-84,License Service
138,1183,1745.1,15-Mar-92,License Service
139,1184,6056.38,30-Aug-15,License Service
140,1186,9379.04,14-Mar-93,License Service
141,1187,4262.54,23-Oct-72,License Service
142,1188,9433.8,31-Dec-86,License Service
143,1190,6722.08,27-Sep-04,License Service
144,1192,7304.01,16-Mar-16,License Service
145,1194,1745.1,13-Apr-97,License Service
146,1195,7712.69,30-Nov-77,License Service
147,1196,6237.15,05-Jul-13,License Service
148,1197,4952.23,20-Aug-97,License Service
149,1198,6056.38,12-Oct-77,License Service
150,1200,5155.01,09-Jan-80,License Service
