Entry_No,Penalty_ID,V_Reg_No,Date,Payment_No,Cost
2084,14,10409,20-Aug-2012,484,9335.97
2085,42,10349,16-Oct-2008,485,523.24
2086,32,10017,20-Jan-1972,486,3646.60
2087,13,10278,05-Oct-1977,487,3456.70
2088,39,10839,30-May-1991,488,4952.23
2089,30,10489,25-Nov-1972,489,4845.43
2090,7,10430,29-Dec-1993,,5045.14
2091,46,10796,18-Feb-1991,,1855.61
2092,13,10502,22-Feb-1981,492,3456.70
2093,38,10763,02-Jul-1994,493,1443.06
2094,2,10783,31-Oct-1995,494,5251.63
2095,43,10169,29-Jan-2014,495,6059.31
2096,37,10776,13-Sep-1998,,8324.43
2097,8,10114,14-Nov-2013,497,3075.66
2098,8,10219,14-Oct-1983,498,3075.66
2099,40,10964,23-Oct-2002,,6237.15
2100,22,10902,25-Jan-2011,500,797.71
2101,16,10790,12-Oct-1986,501,6056.38
2102,4,10025,05-Jan-1994,502,4209.55
2103,18,10534,22-Nov-2000,,2060.39
2104,1,10797,10-Jan-2007,,5308.45
2105,26,10889,18-Nov-1990,505,7031.99
2106,50,10907,13-May-2005,506,6722.08
2107,29,10205,24-Jan-1992,,8680.38
2108,6,10956,11-Jul-2011,508,6567.89
2109,13,10122,22-Sep-2004,509,3456.70
2110,49,10553,25-Feb-2007,510,9433.80
2111,1,10897,31-May-1999,511,5308.45
2112,43,10309,06-May-2002,512,6059.31
2113,33,10671,08-Nov-1981,513,7304.01
2114,44,10449,15-Feb-1981,514,9098.64
2115,9,10652,08-Jan-2000,,6530.28
2116,37,10284,06-May-1971,516,8324.43
2117,4,10035,10-Oct-1993,,4209.55
2118,19,10959,07-Dec-1998,,9401.14
2119,10,10708,21-Jan-1982,,4262.54
2120,41,10556,12-May-1996,520,6086.96
2121,9,10213,24-Jan-2001,,6530.28
2122,25,10553,02-Nov-2001,522,3127.96
2123,8,10945,05-Feb-1995,,3075.66
2124,23,10630,03-Apr-1976,524,9379.04
2125,5,10391,18-Apr-1979,525,3396.46
2126,46,10467,22-Jun-1970,526,1855.61
2127,49,10202,30-Nov-1970,527,9433.80
2128,45,10601,05-Jun-1989,,6371.53
2129,30,10262,25-Aug-2000,529,4845.43
2130,36,10431,04-Oct-2012,530,3094.89
2131,26,10711,10-Feb-2010,531,7031.99
2132,5,10784,26-May-2002,,3396.46
2133,40,10663,01-Nov-1990,533,6237.15
2134,35,10027,14-Nov-1999,534,2031.42
2135,11,10452,26-Apr-2012,535,7352.25
2136,17,10545,02-Nov-1974,,3319.43
2137,1,10881,21-Nov-1975,537,5308.45
2138,22,10082,26-Jun-1984,538,797.71
2139,8,10308,26-Sep-2016,539,3075.66
2140,14,10182,02-Apr-2010,540,9335.97
2141,28,10102,06-Nov-1987,,5155.01
2142,41,10372,19-Oct-1975,542,6086.96
2143,4,10920,11-Dec-1997,543,4209.55
2144,5,10923,26-Jun-1986,,3396.46
2145,35,10477,23-Nov-1999,,2031.42
2146,46,10070,03-Aug-1975,546,1855.61
2147,38,10322,02-Jun-1995,547,1443.06
2148,32,10993,24-Jul-2006,548,3646.60
2149,26,10626,08-Jul-1992,549,7031.99
2150,25,10663,26-Oct-1988,,3127.96
2151,27,10741,29-Apr-1997,551,4596.04
2152,30,10675,24-Apr-1998,552,4845.43
2153,2,10688,28-Feb-2013,553,5251.63
2154,12,10966,06-Jun-1992,554,5714.43
2155,6,10177,18-May-1984,555,6567.89
2156,28,10287,27-Feb-1994,556,5155.01
2157,16,10926,17-Feb-2001,,6056.38
2158,4,10612,16-Nov-1985,,4209.55
2159,5,10114,20-Dec-2005,,3396.46
2160,43,10298,25-Sep-1984,560,6059.31
2161,40,10435,02-Nov-2014,561,6237.15
2162,10,10120,16-Dec-2000,562,4262.54
2163,12,10569,29-Jul-1973,563,5714.43
2164,45,10500,03-Sep-1993,,6371.53
2165,11,10878,26-Jan-1995,,7352.25
2166,12,10412,22-Jul-2010,566,5714.43
2167,46,10947,01-Mar-1984,567,1855.61
2168,41,10518,11-Aug-1999,568,6086.96
2169,15,10232,14-Apr-1979,,3027.34
2170,5,10399,30-Jun-2007,570,3396.46
2171,40,10701,05-Oct-1975,571,6237.15
2172,13,10968,26-Feb-1973,,3456.70
2173,26,10514,05-Sep-2009,573,7031.99
2174,12,10756,19-Nov-2004,,5714.43
2175,9,10322,21-Jul-1992,575,6530.28
2176,35,10750,11-Oct-1984,576,2031.42
2177,39,10368,29-Jan-1986,577,4952.23
2178,29,10934,20-Dec-2013,578,8680.38
2179,2,10200,09-Jul-1999,579,5251.63
2180,33,10645,05-Jan-1991,580,7304.01
2181,9,10650,30-May-2006,,6530.28
2182,41,10835,28-Apr-2008,582,6086.96
2183,23,10464,31-May-1982,583,9379.04
2184,21,10049,24-Dec-1982,584,4356.49
2185,33,10175,27-Apr-1988,,7304.01
2186,48,10703,13-Feb-1972,,4944.26
2187,35,10749,19-May-2015,587,2031.42
2188,7,10631,12-May-1996,588,5045.14
2189,9,10629,23-Jul-2012,589,6530.28
2190,26,10668,02-Apr-1998,590,7031.99
2191,13,10782,04-Mar-2017,591,3456.70
2192,8,10541,31-Mar-1978,592,3075.66
2193,46,10608,11-Dec-1982,593,1855.61
2194,45,10492,05-Apr-2012,,6371.53
2195,27,10275,04-Nov-1971,595,4596.04
2196,42,10270,18-Jun-1995,596,523.24
2197,11,10822,24-Jan-1976,597,7352.25
2198,26,10909,12-Jan-1994,,7031.99
2199,23,10312,09-Apr-1988,599,9379.04
2200,22,10063,22-Nov-2014,600,797.71
